mouse,day,genotype,primer,direction,total_reads,adapter_trimmed_reads,removed_reads,removed_reads:too_short,removed_reads:too_many_Ns,removed_reads:inversion,removed_reads:double_target,removed_reads:target_2errors,removed_reads:removed_at_R2,removed_reads:amplified_alt_target,removed_reads:amplified_alt_vsg,removed_reads:alt_splice,target_R1,target_R2,unknown_R1,unknown_R2,mosaics_identified
MR2,D14,muMT,1R,R,432126,7312,8410,3959,0,682,555,2648,2409,563,3,0,422521,400578,1194,29139,1
MR5,D14,muMT,1F,F,417997,12,9340,1742,0,83,1974,5239,738,302,0,0,407358,408230,1296,9029,3
MR5,D8,muMT,1F,F,18254,3,1466,248,0,44,83,386,849,705,0,0,16652,16538,135,867,1
MR2,D8,muMT,2R,R,43209,575,2457,747,0,141,94,394,1546,1081,0,0,40604,37852,148,3811,0
MR5,D8,muMT,3F,F,39554,2,1631,343,0,75,187,788,403,238,0,0,37752,37127,171,2024,0
MR2,D8,muMT,0R,R,32900,459,2268,446,0,559,241,719,357,301,2,0,30413,29064,217,3479,2
MR3,D14,muMT,2F,F,213578,9,7707,1694,0,310,1418,3881,1196,404,0,0,205221,205048,649,7334,1
MR5,D14,muMT,3F,F,263656,4,5833,1487,0,252,691,2999,1051,404,0,0,257084,255450,739,7155,0
MR5,D8,muMT,3R,R,847336,188489,573511,527771,0,167,94,272,544216,45205,2,131,273146,301233,541,1887,7
MR2,D14,muMT,3R,R,283257,14187,41837,31136,0,521,1511,1699,34671,6940,30,1736,238934,231478,748,17108,2
MR2,D8,muMT,4F,F,331353,32,24410,4417,0,2618,1976,6846,10902,8552,1,0,305688,303986,1249,16465,6
MR2,D14,muMT,3F,F,261357,7,6707,1780,0,276,731,3255,1444,665,0,0,253828,248806,821,11107,1
MR5,D14,muMT,3R,R,545428,35283,95898,77052,0,396,2414,2649,83241,13352,35,1692,446515,438439,1323,23748,0
MR3,D14,muMT,2R,R,265295,4969,8658,3370,0,1532,891,2323,1989,542,0,8,255781,241426,846,21880,2
MR2,D14,muMT,1F,F,360876,5,9423,1853,0,98,1634,5291,962,547,0,0,350286,348313,1163,11601,4
MR5,D14,muMT,1R,R,683539,9339,10776,5705,0,381,759,3187,3954,735,9,0,671072,646838,1688,32747,3
MR5,D8,muMT,1R,R,123613,2913,5305,1606,0,846,507,1280,1679,1066,0,0,117836,111323,470,10611,2
MR5,D8,muMT,2F,F,43308,4,1864,488,0,28,158,772,763,418,0,0,41297,40853,147,1692,0
MR2,D8,muMT,2F,F,148422,8,5678,1211,0,423,751,2631,1266,662,0,0,142271,141427,473,5729,0
MR3,D14,muMT,0R,R,370239,9198,38442,10887,0,8523,3739,7745,9526,7535,13,1,329187,325137,2589,35576,20
MR2,D8,muMT,1R,R,88172,2123,3181,1076,0,232,228,802,1368,843,0,0,84618,79803,373,7001,0
MR3,D14,muMT,1F,F,167670,10,6837,1145,0,91,1416,3630,905,555,0,0,160234,160618,599,6147,0
MR3,D14,muMT,4F,F,640665,21,73545,11850,0,1685,4207,13694,50266,42109,0,0,564914,564293,2198,26106,8
MR2,D14,muMT,2R,R,210776,1453,4043,1653,0,398,281,1483,986,228,0,2,206103,193477,628,16313,0
MR3,D14,muMT,3F,F,175744,5,6973,1483,0,268,1126,3503,1249,593,0,0,168180,166963,591,7532,0
MR5,D14,muMT,2F,F,372851,6,7351,1894,0,267,1039,3913,1238,238,0,0,364580,363748,919,7865,1
MR2,D8,muMT,3R,R,703689,154021,472508,427548,0,101,115,330,448319,44413,1,164,230502,252900,515,2470,0
MR2,D14,muMT,0R,R,191715,1565,12582,3164,0,4331,1028,2610,1739,1439,10,3,178146,174415,974,15561,10
MR5,D8,muMT,0R,R,46468,414,3937,880,0,1193,361,1008,590,492,3,0,42211,41285,315,4593,5
MR2,D8,muMT,3F,F,100051,5,3891,932,0,367,488,1792,737,312,0,0,95800,94833,359,4481,1
MR5,D8,muMT,4F,F,191175,15,12663,2157,0,1029,1124,3634,5762,4719,0,0,177750,176805,755,8608,7
MR5,D8,muMT,2R,R,49203,888,4582,1083,0,248,142,499,3284,2610,0,0,44424,41291,195,4628,2
MR5,D14,muMT,0R,R,321637,2889,12940,3606,0,2440,1138,3447,2992,2291,18,5,307491,299505,1188,19140,13
MR2,D8,muMT,1F,F,79955,9,3756,695,0,74,494,1734,1006,759,0,0,75874,75989,325,2960,0
MR3,D14,muMT,3R,R,317930,29623,85228,66349,0,1077,999,1602,75526,15197,4,712,231247,225361,741,17043,2
MR2,D14,muMT,4F,F,745171,9,49936,7931,0,1688,2014,9906,33150,28397,0,0,693006,682593,2211,29428,18
MR2,D14,muMT,2F,F,374704,8,8689,2404,0,331,1102,4423,1702,429,0,0,365065,360161,950,12841,0
MR4,D14,muMT,3R,R,387446,32550,101426,82311,0,341,1284,1678,91627,15788,24,607,284498,275744,913,20075,2
MR4,D7,muMT,1R,R,68181,784,2551,741,0,125,148,562,1370,975,0,0,65200,61855,428,4956,2
MR5,D14,muMT,4F,F,684684,29,26197,5593,0,1310,2166,8214,11857,8914,0,0,656427,655346,2050,17481,10
MR5,D14,muMT,2R,R,388884,2390,6058,2640,0,362,453,2365,1521,238,0,9,381726,363573,1089,23790,2
MR3,D7,muMT,1R,R,33815,390,1674,476,0,56,51,276,1149,815,0,0,31817,30313,324,2353,0
MR3,D7,muMT,3F,F,73994,4,2426,553,0,110,212,1113,701,438,0,0,71329,70872,239,2421,0
MR4,D7,muMT,3F,F,77112,8,2131,543,0,109,196,1003,511,280,0,0,74702,73745,279,2856,0
MR3,D7,muMT,3R,R,919603,207684,618230,564112,0,45,61,214,586395,53794,4,106,300573,331855,694,1353,0
MR4,D7,muMT,3R,R,821136,171212,556447,509215,0,74,110,315,528009,46726,7,142,263863,290735,684,2392,0
MR4,D7,muMT,1F,F,59364,7,2492,483,0,19,234,989,995,767,0,0,56573,56514,299,1855,0
MR3,D7,muMT,1F,F,75943,6,3724,676,0,14,260,1156,2033,1618,0,0,71827,71944,392,1966,0
MR4,D14,muMT,3F,F,222096,4,5395,1713,0,175,524,2382,1532,601,0,0,216071,211729,630,8835,0
MR4,D14,muMT,1R,R,398027,5722,7731,3991,0,310,482,2053,3097,891,4,0,389142,366130,1153,28800,1
MR3,D7,muMT,2R,R,25386,172,2861,827,0,31,48,188,2484,1767,0,0,22367,21006,158,1896,0
MR4,D14,muMT,1F,F,328516,12,7740,1798,0,54,1362,3920,1267,606,0,0,319775,316173,1001,11076,0
MR3,D14,muMT,1R,R,821224,35235,25788,12141,0,2697,2809,6883,5471,1256,2,1,792994,739706,2441,76047,0
MR4,D7,muMT,2R,R,46208,346,2791,666,0,68,77,436,1943,1544,0,0,43175,40388,239,3877,3
MR3,D7,muMT,0R,R,11058,77,919,187,0,130,27,200,422,374,1,2,10036,9595,100,1041,1
MR4,D7,muMT,0R,R,29375,203,1577,328,0,239,85,489,486,431,5,0,27605,26135,191,2754,2
MR3,D7,muMT,4F,F,207422,26,12769,2747,0,928,599,2747,7845,5748,0,0,193862,193157,789,6420,2
MR4,D7,muMT,4F,F,203319,51,10360,2151,0,549,614,2767,5649,4279,0,0,192172,191156,785,6514,2
MR4,D14,muMT,2R,R,242770,1371,4315,1817,0,289,295,1613,1177,301,0,2,237702,221476,750,20117,1
MR4,D14,muMT,0R,R,230695,2561,10241,3075,0,1612,995,2500,2567,2040,19,1,219430,208800,1000,19328,23
MR4,D7,muMT,2F,F,109800,12,2952,741,0,66,349,1364,862,432,0,0,106464,105358,383,3580,1
MR3,D7,muMT,2F,F,125460,10,4020,987,0,283,378,1435,1512,937,0,0,121026,120117,414,3831,0
MR4,D14,muMT,2F,F,340695,9,7632,2531,0,186,973,3513,1964,429,0,0,332117,328452,946,10279,0
MR4,D14,muMT,4F,F,601303,17,38566,8229,0,744,1494,6208,27976,21891,0,0,561094,545209,1632,28118,11
