mouse,day,genotype,primer,total_reads,num_consol_reads,reads_consolidated,reads_eliminated
E1M5,D15,muMT,0R,2271332,71762,938423,1332909
E1M5,D15,muMT,2F,7644684,121385,3299329,4345355
E1M4,D15,muMt,1R,3322892,83247,1302458,2020434
E1M4,D15,muMt,2F,8674848,107236,3757177,4917671
E1M4,D15,muMt,2R,3037952,65453,1195876,1842076
E1M4,D15,muMt,3F,6536656,93305,2795461,3741195
E1M5,D15,muMT,1R,4664156,129176,1915140,2749016
E1M5,D15,muMT,2R,4435948,105241,1805586,2630362
E1M5,D15,muMT,3F,5526366,112628,2356654,3169712
E1M5,D15,muMT,3R,33983652,1388648,14729582,19254070
E2M6,D15,muMT,1R,4657862,139188,1867395,2790467
E2M6,D15,muMT,2F,8032980,115253,3439439,4593541
E2M6,D15,muMT,2R,3961766,102973,1578939,2382827
E2M6,D15,muMT,3F,5841494,113451,2474379,3367115
E3M4,D15,muMT,0R,2874916,139050,1155478,1719438
E3M4,D15,muMT,1R,6111460,270056,2508780,3602680
E3M4,D15,muMT,2R,4823894,186614,1951720,2872174
E1M4,D15,muMt,0R,1496062,44283,602837,893225
E1M4,D15,muMt,1F,7219994,86575,3108640,4111354
E1M5,D15,muMT,1F,6232958,103030,2677478,3555480
E1M4,D15,muMt,4F,11289476,155870,4906656,6382820
E1M5,D15,muMT,4F,11216364,236446,4851918,6364446
E2M6,D15,muMT,0R,1969594,73245,802767,1166827
E2M6,D15,muMT,1F,6208578,95152,2638050,3570528
E2M6,D15,muMT,4F,11618214,222234,5018811,6599403
E2M7,D15,muMT,0R,5072966,94090,308790,4764176
E2M7,D15,muMT,1F,10216170,303180,1016601,9199569
E2M7,D15,muMT,1R,11869060,277583,937571,10931489
E2M7,D15,muMT,2F,10183506,325146,1122550,9060956
E2M7,D15,muMT,2R,11734480,357173,1233815,10500665
E2M7,D15,muMT,3F,7985700,153806,506502,7479198
E2M7,D15,muMT,3R,12971244,345583,1202756,11768488
E2M8,D15,muMT,0R,1311938,59312,432281,879657
E2M8,D15,muMT,1F,2406524,74249,860813,1545711
E2M8,D15,muMT,1R,2975714,128234,990059,1985655
E2M8,D15,muMT,2F,3085392,82404,1109176,1976216
E2M8,D15,muMT,2R,2629918,94595,906114,1723804
E2M8,D15,muMT,3F,2175784,85660,748112,1427672
E2M9,D15,muMT,0R,3411124,224935,1021811,2389313
E2M9,D15,muMT,1F,12004878,530188,4818720,7186158
E2M9,D15,muMT,1R,7922838,545432,2597314,5325524
E2M9,D15,muMT,2F,13479906,517929,5400842,8079064
E2M9,D15,muMT,2R,6677954,447549,2262240,4415714
E2M9,D15,muMT,3F,9830284,530793,3738699,6091585
E2M7,D15,muMT,4F,18467274,492895,1663997,16803277
E2M8,D15,muMT,4F,6961912,265088,2491600,4470312
E2M9,D15,muMT,4F,19962392,903359,7903062,12059330
E1M4,D15,muMt,3R,39887538,1631440,16847828,23039710
E2M9,D15,muMT,3R,27106504,1900623,9280180,17826324
E2M8,D15,muMT,3R,45398232,2534780,17885996,27512236
E2M6,D15,muMT,3R,34269414,1400012,14904470,19364944
M1M2,D18,muMt,0R,6342188,389599,2217842,4124346
M1M2,D18,muMt,1F,13478250,651557,5274315,8203935
M1M2,D18,muMt,1R,15601354,962303,5785098,9816256
M1M2,D18,muMt,2F,15985464,720817,6167270,9818194
M1M2,D18,muMt,2R,15299256,856089,5886931,9412325
M1M2,D18,muMt,3F,12193430,707308,4492383,7701047
M1M2,D18,muMt,4F,21276148,1096344,8249657,13026491
M1M3,D18,muMT,0R,5883012,258844,1973252,3909760
M1M3,D18,muMT,1F,10617794,351352,3833511,6784283
M1M3,D18,muMT,1R,11264864,478316,3792168,7472696
M1M3,D18,muMT,2F,12918236,410822,4639468,8278768
M1M3,D18,muMT,2R,10618910,405468,3688105,6930805
M1M3,D18,muMT,3F,9280464,366236,3210745,6069719
M1M4,D21,muMT,0R,6762768,214161,736081,6026687
M1M4,D21,muMT,1F,11633382,464638,1612701,10020681
M1M4,D21,muMT,1R,16248020,575200,2015321,14232699
M1M4,D21,muMT,2F,12238048,488448,1730149,10507899
M1M4,D21,muMT,2R,16283412,714234,2564088,13719324
M1M4,D21,muMT,3F,9558076,267608,905015,8653061
M1M4,D21,muMT,4F,18988710,695535,2408185,16580525
M1M5,D21,muMT,0R,5533212,354156,1720313,3812899
M1M5,D21,muMT,1F,13140738,792741,5129639,8011099
M1M5,D21,muMT,1R,14003944,957589,4665773,9338171
M1M5,D21,muMT,2F,14339256,798605,5441240,8898016
M1M5,D21,muMT,2R,12991776,868722,4748017,8243759
M1M5,D21,muMT,3F,10871462,719763,3749257,7122205
M1M5,D21,muMT,4F,24120552,1529078,9173520,14947032
M1M7,D18,muMT,0R,6372780,271165,988411,5384369
M1M7,D18,muMT,1F,14568900,848790,3268462,11300438
M1M7,D18,muMT,1R,17187276,864004,3308977,13878299
M1M7,D18,muMT,2F,16132356,926598,3763839,12368517
M1M7,D18,muMT,2R,16363760,935099,3717217,12646543
M1M7,D18,muMT,3F,12323942,563696,2068831,10255111
M1M7,D18,muMT,4F,24064976,1349393,5298401,18766575
M1M8,D18,muMT,0R,4794462,270128,1184182,3610280
M1M8,D18,muMT,1F,8592126,458189,3139480,5452646
M1M8,D18,muMT,1R,8717752,536450,2307410,6410342
M1M8,D18,muMT,2F,8718702,424756,3071519,5647183
M1M8,D18,muMT,2R,6936922,440318,2240445,4696477
M1M8,D18,muMT,3F,5672818,333928,1795199,3877619
