mouse,day,genotype,primer,total_reads,num_consol_reads,reads_consolidated,reads_eliminated
E3M6,D15,WT,4F,508092,29212,129777,378315
E2M2,D15,WT,1R,15298,29,87,15211
E2M2,D15,WT,0R,28268,39,119,28149
E2M1,D15,WT,4F,279470,15617,76697,202773
E1M10,D15,WT,3F,17532,746,2815,14717
E1M10,D15,WT,1R,11098,27,83,11015
E3M7,D15,WT,3R,1628554,14349,45248,1583306
E2M1,D15,WT,3F,6408,248,1052,5356
E1M8,D15,WT,4F,141130,7380,35058,106072
E1M8,D15,WT,1F,6690,216,951,5739
E1M8,D15,WT,0R,37352,684,2277,35075
E2M1,D15,WT,3R,2034650,30964,98814,1935836
E2M3,D15,WT,4F,569572,31034,132778,436794
E1M8,D15,WT,1R,19902,297,1006,18896
E1M10,D15,WT,2R,7376,27,87,7289
E1M7,D15,WT,2R,4994,28,86,4908
E1M8,D15,WT,3R,1156110,17711,58297,1097813
E1M7,D15,WT,2F,8542,248,1097,7445
E2M3,D15,WT,1F,13070,472,1961,11109
E2M2,D15,WT,1F,10272,121,401,9871
E2M1,D15,WT,2R,4254,17,61,4193
E3M6,D15,WT,1R,9522,11,34,9488
E3M6,D15,WT,0R,21496,159,499,20997
E2M2,D15,WT,2F,8500,124,428,8072
E1M10,D15,WT,3R,758746,1676,5263,753483
E3M7,D15,WT,3F,9952,363,1502,8450
E1M7,D15,WT,4F,363840,18503,77012,286828
E1M10,D15,WT,4F,180140,7436,28945,151195
E1M7,D15,WT,0R,49194,481,1541,47653
E1M8,D15,WT,2F,8004,218,1248,6756
E1M10,D15,WT,1F,31276,1695,6706,24570
E3M6,D15,WT,1F,13716,587,2376,11340
E1M10,D15,WT,2F,33992,2024,9891,24101
E1M7,D15,WT,1R,13770,206,681,13089
E2M3,D15,WT,3F,8452,231,874,7578
E2M1,D15,WT,0R,7080,78,255,6825
E2M2,D15,WT,3F,6640,57,186,6454
E1M7,D15,WT,3R,1547878,38909,129429,1418449
E2M1,D15,WT,1F,9848,406,1940,7908
E2M3,D15,WT,2R,4528,6,33,4495
E3M7,D15,WT,1R,28440,261,851,27589
E1M8,D15,WT,2R,4280,12,43,4237
E1M10,D15,WT,0R,10812,30,95,10717
E3M7,D15,WT,2R,4496,9,32,4464
E2M3,D15,WT,2F,11804,401,1886,9918
E3M7,D15,WT,0R,61058,507,1590,59468
E3M6,D15,WT,2F,12260,508,2331,9929
E3M6,D15,WT,2R,10332,38,132,10200
E2M3,D15,WT,1R,22050,164,540,21510
E3M7,D15,WT,2F,13316,537,2614,10702
E2M1,D15,WT,2F,10020,404,2324,7696
E2M1,D15,WT,1R,7326,31,133,7193
E2M2,D15,WT,2R,3480,0,0,3480
E3M6,D15,WT,3F,11414,469,1851,9563
E3M7,D15,WT,4F,464140,24337,106971,357169
E2M2,D15,WT,4F,346438,6734,22592,323846
E2M3,D15,WT,3R,1080724,5266,16354,1064370
E1M7,D15,WT,3F,5648,110,406,5242
E2M2,D15,WT,3R,929208,2054,6495,922713
E3M6,D15,WT,3R,1896152,10126,31848,1864304
E1M8,D15,WT,3F,3918,95,387,3531
E1M7,D15,WT,1F,9138,257,992,8146
E3M7,D15,WT,1F,14388,544,2318,12070
E2M3,D15,WT,0R,15956,110,342,15614
