Guide,Clone,Outcome
1357,D3-1357-D10 300-G10,Mosaic
1357,D3-1357-D10 300-D6,Multiple
1357,D3-1357-D10 300-E4,Multiple
592,D3-592-G7 150-D6,Mosaic
592,D3-592-G7 300-F7,Mosaic
592,D3-592-G7 300-E3,Mosaic
592,D3-592-G7 150-D8,Mosaic
592,D3-592-G7 150-C3,Mosaic
1357,E9-1357-F12 300-E7,Multiple
1357,E9-1357-F12 300 G4,Mosaic
1357,E9-1357-F12 300-F5,Mosaic
1357,E9-1357-F12 300-C10,Mosaic
1357,E9-1357-F12 150-E7,Mosaic
592,E9-592-C7 300-E8,Mosaic
592,E9-592-C7 300-C8,Mosaic 
1357,E9-1357-E3  1-C4,Mosaic
1357,E9-1357-E3 1-D4,Mosaic
1357,E9-1357-E3 1-D7,Multiple
1357,E9-1357-E3 1-C2,Multiple
1357,E9-1357-E3 1-C9,Multiple
1357,E9-1357-E3 1-D10,Mosaic
1357,E9-1357-E3 3-C5,Mosaic
1357,E9-1357-E3 3-F6,Multiple
141,E9-141-E8_DOX-3-1-E4,Multiple
141,E9-141-E8_DOX-2-1-E7,Multiple
141,E9-141-E8_DOX-3-2-C8,Multiple
141,E9-141-E8_DOX-3-2-D6,Multiple
141,E9-141-E8_DOX-3-1-F4,Multiple
141,E9-141-E8_DOX-1-1-B9,Multiple
