E2M1, D6, WT, VSG-421, 0.30605881755
E2M1, D6, WT, VSG-4156, 99.5552419115
E1M7, D6, WT, VSG-421, 68.3789307392
E1M7, D6, WT, VSG-4156, 31.5218632687
E1M5, D6, muMT, VSG-4156, 0.0243466139879
E1M5, D6, muMT, VSG-421, 39.9318408434
E1M5, D6, muMT, VSG-4156, 59.8126459
E2M7, D6, muMT, VSG-421, 72.145800151
E2M7, D6, muMT, VSG-4156, 27.7532727954
E2M4, D6, WT, VSG-421, 42.0200234033
E2M4, D6, WT, VSG-4156, 57.8631387267
E3M10, D6, WT, VSG-4156, 38.3440312314
E3M10, D6, WT, VSG-4156, 0.0833648698267
E3M10, D6, WT, VSG-421, 61.3918394947
E3M7, D6, WT, VSG-4156, 61.3955602102
E3M7, D6, WT, VSG-421, 38.4480239311
E2M8, D6, muMT, VSG-421, 52.2282231888
E2M8, D6, muMT, VSG-4156, 47.659537498
EMM3, D6, muMT, VSG-421, 42.722700065
EMM3, D6, muMT, VSG-4156, 57.1654382394
E1M4, D6, muMT, VSG-4156, 99.4551269966
E1M4, D6, muMT, VSG-421, 0.373506217207
E2M6, D6, muMT, VSG-4156, 57.3004221575
E2M6, D6, muMT, VSG-421, 42.6051355572
E3M3, D6, muMT, VSG-421, 74.5848291403
E3M3, D6, muMT, VSG-4156, 25.1968905761
E2M2, D6, WT, VSG-421, 85.5914103428
E2M2, D6, WT, VSG-4156, 14.302154885
E3M9, D6, WT, VSG-421, 74.5351327988
E3M9, D6, WT, VSG-4156, 25.3542473623
E2M9, D6, muMT, VSG-4156, 36.8289648167
E2M9, D6, muMT, VSG-421, 62.9782136766
EMM2, D6, muMT, VSG-421, 53.7436621589
EMM2, D6, muMT, VSG-4156, 46.15430272
E1M8, D6, WT, VSG-4156, 99.4156552182
E1M8, D6, WT, VSG-421, 0.422660228546
EMM4, D6, muMT, VSG-421, 0.195918003476
EMM4, D6, muMT, VSG-4156, 99.7273129332
E1M10, D6, WT, VSG-421, 99.4313887902
E1M10, D6, WT, VSG-4156, 0.460712192153
E3M8, D6, WT, VSG-4156, 12.0375692587
E3M8, D6, WT, VSG-421, 87.853743619
EMM5, D6, muMT, VSG-421, 0.167698613522
EMM5, D6, muMT, VSG-4156, 99.6312768083
E2M5, D6, WT, VSG-421, 43.0048128713
E2M5, D6, WT, VSG-4156, 56.7755200532
EMM8, D6, muMT, VSG-4156, 57.2680412283
EMM8, D6, muMT, VSG-421, 42.62998209
E3M4, D6, muMT, VSG-421, 77.2096661338
E3M4, D6, muMT, VSG-4156, 22.6598965212
E3M4, D6, muMT, VSG-421, 0.00426801129817
E3M6, D6, WT, VSG-4156, 99.5463106185
E3M6, D6, WT, VSG-421, 0.320493013454
EMM7, D6, muMT, VSG-4156, 99.706659196
EMM7, D6, muMT, VSG-421, 0.176175986629
E3M3, D6, WT, VSG-4156, 39.0099525634
E3M3, D6, WT, VSG-421, 60.8928179339
