VSG,cluster,degree,n
Tbb1125VSG-1,1,3,7
Tbb1125VSG-6,2,6,8
Tbb1125VSG-10,3,2,3
Tbb1125VSG-16,4,2,5
Tbb1125VSG-18,5,3,6
Tbb1125VSG-21,6,5,9
Tbb1125VSG-22,7,6,7
Tbb1125VSG-23,8,1,2
Tbb1125VSG-24,9,3,4
Tbb1125VSG-27,10,4,6
Tbb1125VSG-28,11,1,2
Tbb1125VSG-31,12,1,4
Tbb1125VSG-34,13,1,2
Tbb1125VSG-38,14,1,2
Tbb1125VSG-39,15,7,9
Tbb1125VSG-40,16,5,6
Tbb1125VSG-41,17,1,2
Tbb1125VSG-42,18,7,10
Tbb1125VSG-43,19,2,3
Tbb1125VSG-43.1,19,2,3
Tbb1125VSG-44,20,4,6
Tbb1125VSG-45,21,2,3
Tbb1125VSG-46,22,5,7
Tbb1125VSG-48,23,5,6
Tbb1125VSG-50,24,6,10
Tbb1125VSG-54,25,6,9
Tbb1125VSG-59,26,2,3
Tbb1125VSG-60,27,1,2
Tbb1125VSG-62,28,2,4
Tbb1125VSG-63,29,2,3
Tbb1125VSG-66,30,2,4
Tbb1125VSG-68,31,2,4
Tbb1125VSG-69,30,1,4
Tbb1125VSG-70,32,1,2
Tbb1125VSG-71,33,3,12
Tbb1125VSG-73,19,2,3
Tbb1125VSG-74,34,1,2
Tbb1125VSG-75,35,3,4
Tbb1125VSG-76,36,3,7
Tbb1125VSG-77,37,6,7
Tbb1125VSG-81,38,3,4
Tbb1125VSG-83,39,1,2
Tbb1125VSG-84,40,7,8
Tbb1125VSG-101,41,3,4
Tbb1125VSG-102,42,1,2
Tbb1125VSG-104,43,3,4
Tbb1125VSG-105,32,1,2
Tbb1125VSG-106,40,4,8
Tbb1125VSG-107,44,3,5
Tbb1125VSG-110,45,2,3
Tbb1125VSG-112,46,1,2
Tbb1125VSG-113,47,1,2
Tbb1125VSG-113.1,47,1,2
Tbb1125VSG-114,48,1,2
Tbb1125VSG-116,49,1,2
Tbb1125VSG-117,50,3,4
