VSG,cluster,degree,n
Tb427_000005500:pseudogene,1,16,33
Tb427_000005600,1,16,33
Tb427_000006000:pseudogene,1,16,33
Tb427_000006100,1,15,33
Tb427_000007000:pseudogene,2,4,6
Tb427_000007400,1,15,33
Tb427_000007500:pseudogene,1,16,33
Tb427_000007800,3,6,20
Tb427_000008000:pseudogene,4,5,6
Tb427_000008500,1,15,33
Tb427_000008600:pseudogene,1,16,33
Tb427_000009300,3,9,20
Tb427_000009500:pseudogene,5,2,3
Tb427_000009600:pseudogene,1,16,33
Tb427_000009700,1,14,33
Tb427_000010400,3,7,20
Tb427_000011100:pseudogene,1,16,33
Tb427_000011200,1,15,33
Tb427_000011900,3,7,20
Tb427_000012200:pseudogene,6,4,5
Tb427_000012400:pseudogene,7,1,2
Tb427_000013000:pseudogene,1,16,33
Tb427_000013100,1,16,33
Tb427_000013700,3,12,20
Tb427_000014000,8,7,9
Tb427_000014300:pseudogene,1,16,33
Tb427_000014400,1,16,33
Tb427_000016200:pseudogene,1,16,33
Tb427_000016300:pseudogene,1,16,33
Tb427_000016400,1,15,33
Tb427_000017300,3,9,20
Tb427_000019100:pseudogene,1,16,33
Tb427_000019200,1,16,33
Tb427_000019900,3,15,20
Tb427_000020200:pseudogene,9,3,7
Tb427_000020400:pseudogene,1,16,33
Tb427_000020500:pseudogene,1,16,33
Tb427_000020600,1,15,33
Tb427_000021900,10,2,3
Tb427_000022400:pseudogene,1,16,33
Tb427_000022500,1,15,33
Tb427_000023400,3,9,20
Tb427_000023600,11,3,8
Tb427_000024200,1,8,33
Tb427_000024300,1,15,33
Tb427_000024400,1,15,33
Tb427_000025300,3,9,20
Tb427_000026000:pseudogene,12,1,2
Tb427_000026100,13,3,5
Tb427_000026200,13,3,5
Tb427_000026300:pseudogene,14,3,5
Tb427_000026400:pseudogene,15,3,5
Tb427_000026900:pseudogene,16,3,4
Tb427_000027100:pseudogene,17,1,3
Tb427_000027500,18,1,2
Tb427_000028600:pseudogene,19,1,2
Tb427_000029000:pseudogene,20,2,3
Tb427_000029100:pseudogene,21,1,2
Tb427_000029900:pseudogene,22,1,2
Tb427_000030400:pseudogene,23,1,2
Tb427_000030600:pseudogene,24,1,2
Tb427_000031100,25,1,2
Tb427_000031300:pseudogene,26,2,3
Tb427_000031600:pseudogene,27,3,6
Tb427_000031800:pseudogene,28,5,7
Tb427_000031900,6,4,5
Tb427_000032100:pseudogene,29,1,2
Tb427_000032300,30,3,4
Tb427_000032900,31,3,6
Tb427_000033200:pseudogene,32,7,11
Tb427_000033300:pseudogene,33,2,3
Tb427_000034100:pseudogene,34,12,14
Tb427_000034200:pseudogene,35,3,4
Tb427_000034800:pseudogene,36,4,5
Tb427_000035100,37,1,2
Tb427_000035200,38,8,9
Tb427_000036800:pseudogene,39,1,2
Tb427_000037300:pseudogene,40,2,11
Tb427_000037500:pseudogene,41,1,2
Tb427_000037700:pseudogene,42,1,2
Tb427_000038300:pseudogene,43,2,3
Tb427_000038700:pseudogene,44,2,3
Tb427_000038800:pseudogene,45,1,2
Tb427_000039000:pseudogene,46,6,8
Tb427_000039400,47,6,7
Tb427_000039500:pseudogene,48,2,4
Tb427_000039700,49,2,3
Tb427_000039900:pseudogene,50,1,2
Tb427_000040000,51,2,3
Tb427_000040300:pseudogene,52,1,3
Tb427_000040700,53,2,5
Tb427_000041000:pseudogene,54,1,2
Tb427_000041600,55,2,3
Tb427_000041700,56,3,4
Tb427_000041800:pseudogene,57,1,3
Tb427_000042100,58,1,2
Tb427_000042300:pseudogene,59,1,2
Tb427_000042500,60,2,3
Tb427_000042900,61,8,9
Tb427_000043100:pseudogene,62,4,6
Tb427_000044600:pseudogene,63,11,13
Tb427_000044700,64,1,2
Tb427_000044800:pseudogene,65,7,9
Tb427_000045200:pseudogene,66,1,2
Tb427_000045300:pseudogene,67,9,10
Tb427_000045600:pseudogene,68,1,2
Tb427_000045800:pseudogene,69,2,4
Tb427_000046000:pseudogene,70,2,3
Tb427_000046100:pseudogene,71,3,4
Tb427_000046400,72,3,5
Tb427_000046600:pseudogene,73,3,4
Tb427_000046800:pseudogene,74,3,4
Tb427_000046900:pseudogene,75,2,3
Tb427_000048400:pseudogene,76,3,4
Tb427_000048800,77,3,4
Tb427_000049100:pseudogene,78,2,3
Tb427_000049400,79,1,2
Tb427_000049800:pseudogene,80,2,4
Tb427_000050100:pseudogene,69,2,4
Tb427_000050200:pseudogene,81,2,7
Tb427_000050400,82,1,2
Tb427_000050500:pseudogene,83,1,2
Tb427_000050600:pseudogene,84,7,8
Tb427_000050700:pseudogene,85,5,7
Tb427_000051000:pseudogene,71,3,4
Tb427_000051600:pseudogene,70,1,3
Tb427_000051700,86,1,2
Tb427_000052400:pseudogene,87,6,7
Tb427_000052500,88,2,3
Tb427_000052800:pseudogene,75,2,3
Tb427_000053000,89,4,5
Tb427_000053100:pseudogene,90,7,8
Tb427_000053500:pseudogene,91,3,4
Tb427_000053700,92,1,2
Tb427_000053900:pseudogene,93,2,3
Tb427_000054100,94,6,14
Tb427_000054700:pseudogene,95,3,4
Tb427_000055000,96,4,9
Tb427_000055100:pseudogene,97,2,6
Tb427_000055500,98,2,3
Tb427_000055600,99,2,3
Tb427_000055800:pseudogene,100,5,6
Tb427_000056000:pseudogene,101,1,2
Tb427_000057300:pseudogene,102,2,3
Tb427_000057500,103,1,4
Tb427_000057600,103,2,4
Tb427_000058300:pseudogene,34,12,14
Tb427_000058500:pseudogene,48,1,4
Tb427_000059200:pseudogene,104,2,3
Tb427_000059900:pseudogene,105,2,3
Tb427_000060100:pseudogene,106,2,3
Tb427_000060200,107,8,9
Tb427_000060300:pseudogene,100,5,6
Tb427_000060500,108,3,12
Tb427_000060600:pseudogene,109,4,5
Tb427_000060700:pseudogene,110,7,9
Tb427_000060900:pseudogene,111,2,3
Tb427_000061200,112,3,5
Tb427_000061300,113,13,14
Tb427_000061900:pseudogene,114,1,2
Tb427_000062700:pseudogene,115,4,5
Tb427_000062800:pseudogene,116,3,4
Tb427_000063300,117,1,2
Tb427_000063500:pseudogene,118,2,3
Tb427_000063600:pseudogene,119,4,5
Tb427_000064100:pseudogene,120,3,4
Tb427_000064300:pseudogene,96,4,9
Tb427_000065400:pseudogene,21,1,2
Tb427_000065600,121,3,8
